"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0W110","2020-04-09 00:00:00","16.000","11.000","5.600","14.900","0.840","1018.000","","0.000","-99.000","-99.000","-99.000","16.900","","13.400",""
"C0R670","2020-04-09 00:00:00","26.000","74.000","1.100","21.800","0.810","1014.500","","0.000","-99.000","-99.000","-99.000","26.500","","21.600",""
"C0X120","2020-04-09 00:00:00","28.000","348.000","1.600","20.000","0.860","1014.500","","0.000","-99.000","-99.000","-99.000","26.500","","16.000",""
"C0R100","2020-04-09 00:00:00","1006.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0C700","2020-04-09 00:00:00","151.000","85.000","2.000","18.100","0.820","999.800","","0.000","-99.000","-99.000","-99.000","18.300","","15.600",""
"C0W130","2020-04-09 00:00:00","18.000","19.000","4.400","20.100","0.780","1014.300","","0.000","10.400","40.000","","20.800","","17.900",""
"C0F9R0","2020-04-09 00:00:00","20.000","41.000","0.500","19.200","0.990","1015.300","","0.000","-99.000","-99.000","-99.000","23.300","","16.000",""
"C0G780","2020-04-09 00:00:00","27.000","5.000","1.300","19.700","0.800","1013.100","","0.000","-99.000","-99.000","-99.000","24.800","","16.200",""
"C0C590","2020-04-09 00:00:00","72.000","43.000","1.100","18.200","0.800","1007.900","","0.000","-99.000","-99.000","-99.000","19.400","","15.600",""
"C0M790","2020-04-09 00:00:00","15.000","4.000","0.600","19.400","0.820","1013.900","","0.000","-99.000","-99.000","-99.000","25.200","","15.300",""
"C0R130","2020-04-09 00:00:00","1040.000","259.000","0.600","16.900","0.910","899.800","","0.000","-99.000","-99.000","-99.000","23.400","","15.000",""
"C0AH30","2020-04-09 00:00:00","755.000","34.000","2.800","15.600","1.000","932.500","","0.500","-99.000","-99.000","-99.000","15.700","","13.700",""
"C0X170","2020-04-09 00:00:00","50.000","51.000","0.900","19.900","0.920","1010.300","","0.000","-99.000","-99.000","-99.000","28.200","","16.000",""
"C0K291","2020-04-09 00:00:00","8.000","11.000","1.700","19.600","0.850","1016.200","","0.000","-99.000","-99.000","-99.000","23.900","","17.000",""
"C0D480","2020-04-09 00:00:00","223.000","0.000","0.000","16.900","0.860","990.200","","0.000","-99.000","-99.000","-99.000","18.900","","14.600",""
"C0F0C0","2020-04-09 00:00:00","983.000","186.000","2.000","16.000","0.990","906.700","","0.000","-99.000","-99.000","-99.000","20.400","","14.400",""
"C0U860","2020-04-09 00:00:00","5.000","276.000","0.800","18.800","0.950","1017.300","","0.000","-99.000","-99.000","-99.000","22.800","","16.800",""
"C0UA50","2020-04-09 00:00:00","808.000","307.000","1.300","14.000","1.000","926.500","","0.500","-99.000","-99.000","-99.000","16.300","","11.500",""
"C0X320","2020-04-09 00:00:00","30.000","355.000","0.600","18.800","0.930","1012.300","","0.000","-99.000","-99.000","-99.000","27.400","","14.900",""
"C0T960","2020-04-09 00:00:00","120.000","0.000","0.000","19.300","0.990","1003.500","","0.000","-99.000","-99.000","-99.000","24.300","","16.800",""
"C0SA80","2020-04-09 00:00:00","136.000","0.000","0.200","19.200","0.950","1001.400","","0.000","-99.000","-99.000","-99.000","24.500","","18.700",""
"C0E780","2020-04-09 00:00:00","160.000","0.000","0.100","17.700","0.900","998.500","","0.000","-99.000","-99.000","-99.000","23.200","","14.500",""
"C0F9Q0","2020-04-09 00:00:00","149.000","323.000","0.700","18.600","0.890","998.000","","0.000","-99.000","-99.000","-99.000","24.400","","14.600",""
"C0F9X0","2020-04-09 00:00:00","166.000","2.000","1.500","18.500","0.880","1001.400","","0.000","-99.000","-99.000","-99.000","23.600","","14.600",""
"C0F0D0","2020-04-09 00:00:00","3171.000","153.000","3.700","2.200","1.000","697.500","","0.000","-99.000","-99.000","-99.000","9.800","","0.900",""
